"163,142605.4522,2635424,-1.151,2.021,175.153,8190"
"164,142605.5849,2635517,-1.152,1.980,175.103,8190"
"165,142605.7464,2635624,-1.154,1.964,175.046,8190"
"166,142605.7598,2635722,-1.156,1.955,174.934,8190"
"167,142605.8722,2635821,-1.021,1.941,174.809,8190"
"168,142605.9920,2635921,-1.044,1.947,174.940,8190"
"169,142606.0536,2636022,-1.067,1.956,175.021,8190"
"170,142606.1797,2636124,-1.082,1.954,175.068,8190"
"171,142606.3451,2636224,-1.097,1.961,175.035,8190"
"172,142606.3570,2636322,-1.114,1.950,175.021,8190"
"173,142606.4689,2636424,-1.124,1.960,174.968,8190"
"174,142606.5993,2636524,-1.132,1.965,174.886,8190"
"175,142606.6502,2636624,-1.138,1.983,174.840,8190"
"176,142606.7768,2636724,-1.142,2.005,174.820,8190"
"177,142607.0649,2636817,-1.140,2.007,174.841,8190"
"178,142607.0770,2636920,-1.148,2.004,174.914,8190"
"179,142607.1937,2637125,-1.153,1.990,174.834,8190"
"180,142607.2533,2637221,-1.152,1.994,174.865,8190"
"181,142607.3736,2637317,-1.154,1.976,174.869,8190"
"182,142607.4939,2637417,-1.153,2.003,174.791,8190"
"183,142607.5545,2637526,-1.155,2.015,174.837,8190"
"184,142607.6749,2637625,-1.150,2.002,174.861,8190"
"185,142607.7867,2637717,-1.149,1.999,174.815,8190"
"186,142607.8493,2637826,-1.141,2.031,174.870,8190"
"187,142607.9697,2637926,-1.139,2.046,174.979,8190"
"188,142608.0911,2638017,-1.140,2.022,175.018,8190"
"189,142608.1521,2638125,-1.141,2.023,175.076,8190"
"190,142608.2726,2638225,-1.135,2.017,175.163,8190"
"191,142608.3936,2638323,-1.139,2.012,175.177,8190"
"192,142608.4544,2638421,-1.145,1.987,175.144,8190"
"193,142608.5759,2638523,-1.146,1.991,175.134,8190"
"194,142608.6955,2638622,-1.150,2.000,175.122,8190"
"195,142608.8640,2638717,-1.147,2.012,175.130,8190"
"196,142608.8742,2638824,-1.145,2.003,175.166,8190"
"197,142608.9859,2638917,-1.144,1.985,175.145,8190"
"198,142609.0474,2639017,-1.141,1.976,175.135,8190"
"199,142609.1667,2639125,-1.140,1.997,175.107,8190"
"200,142609.2885,2639220,-1.141,2.002,175.106,8190"
"201,142609.3495,2639325,-1.144,2.007,175.121,8190"
"202,142609.4718,2639424,-1.142,1.995,175.135,8190"
"203,142609.5920,2639524,-1.145,1.998,175.156,8190"
